sample_id,before_curve_type,after_curve_type,before_query_type,after_query_type,query_type_changed,before_reasoning_success,after_reasoning_success,reasoning_transition,before_final_answer_correct,after_final_answer_correct,correctness_transition,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,num_steps_delta,before_first_model,after_first_model,before_last_model,after_last_model,before_model_sequence_len,after_model_sequence_len,model_sequence_changed,model_sequence_lcp,new_model_ids_after,removed_model_ids_after,after_repeated_model_loop,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
5,Parabola,Parabola,Distance,Distance,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,5/4,sqrt((a-1)^2+16)/4,sqrt((a-1)^2+16)/4,"Distance(A, Focus(G))","G: Parabola;Expression(G) = (x^2 = a*y);a: Number;A: Point;Coordinate(A) = (1, 1/4);PointOnCurve(A, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
18,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,29,29,15,15,False,15,,,True,5,"Abs(LineSegmentOf(P,F))",sqrt((a+4)^2+256)/4,"Abs(LineSegmentOf(P,F))","G: Parabola;a: Number;P: Point;F: Point;Expression(G) = (y^2 = a*x);Negation(a=0);Coordinate(P) = (-1, 4);PointOnCurve(P, G);Focus(G) = F;Distance(P, F) = Abs(LineSegmentOf(P, F))",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
27,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,5,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;b: Number;a: Number;G: Line;A: Point;F: Point;B: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);RightFocus(C) = F;PointOnCurve(O, G);Intersection(G, C) = {A, B};Abs(LineSegmentOf(A, F)) = 6;Abs(LineSegmentOf(B, F)) = 8;AngleOf(A, F, B) = pi/2;O: Origin",1,1
55,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(2),sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;b: Number;a: Number;G: Circle;H: Line;A: Point;B: Point;F1: Point;O:Origin;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(C) = F1;PointOnCurve(F1, H);Intersection(H, Asymptote(C)) = {A, B};IsDiameter(LineSegmentOf(A,B),G);PointOnCurve(O,G)",21,21
60,Parabola,Parabola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,42,42,63,63,15,15,False,15,,,False,x = -2,Equation(Directrix) not found,Equation(Directrix) not found,Expression(Directrix(G)),"G: Parabola;p: Number;H: Circle;p>0;Expression(G) = (y^2 = 2*(p*x));Expression(H) = (8*y - 4*x + x^2 + y^2 + 19 = 0);PointOnCurve(Center(H), G)",42 42 42 42 42 42 42 43 43 63 63 63 63 63 63,42 42 42 42 42 42 42 43 43 63 63 63 63 63 63
66,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,62,62,62,62,1,1,False,1,,,False,x^2/4+y^2/2=1,y^2/b^2+x^2/a^2=1,y^2/b^2+x^2/a^2=1,Expression(C),"C: Ellipse;b: Number;a: Number;D: Point;A: Point;P: Point;F1: Point;F2: Point;a > b;b > 0;Expression(C) = (y^2/b^2 + x^2/a^2 = 1);LeftVertex(C)=A;UpperVertex(C)=D;LeftFocus(C) = F1;RightFocus(C) = F2;PointOnCurve(P,LineSegmentOf(A,D));Max(DotProduct(VectorOf(P, F1),VectorOf(P, F2)))=2;Min(DotProduct(VectorOf(P,F1),VectorOf(P,F2)))=-2/3",62,62
78,Parabola,Parabola,Area,Area,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,53,53,62,62,15,15,False,15,,,True,27/4,Area not found,Area not found,"Area(TriangleOf(M, A, B))","G: Parabola;Expression(G) = (y = x^2);A: Point;B: Point;Coordinate(A) = (1, 1);Coordinate(B) = (-2, 4);M: Point;Intersection(TangentOnPoint(A,G),TangentOnPoint(B,G))=M;PointOnCurve(A,G);PointOnCurve(B,G)",53 62 62 62 62 62 62 62 62 62 62 62 62 62 62,53 62 62 62 62 62 62 62 62 62 62 62 62 62 62
96,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,17,"Abs(LineSegmentOf(P, F2)) not found","Abs(LineSegmentOf(P, F2)) not found","Abs(LineSegmentOf(P, F2))","G: Hyperbola;P: Point;F1: Point;F2: Point;Expression(G) = (x^2/16 - y^2/20 = 1);Focus(G) = {F1,F2};PointOnCurve(P, G);Abs(LineSegmentOf(P, F1)) = 9",1,1
122,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,62,62,15,15,False,15,,,False,"(3, pm*2*sqrt(3))",Coordinate(A) not found,Coordinate(A) not found,Coordinate(A),"G: Parabola;Expression(G) = (y^2 = 4*x);F: Point;Focus(G) = F;H: Line;PointOnCurve(F, H);A: Point;B: Point;Intersection(H, G) = {A, B};Abs(LineSegmentOf(A, F)) = 4",2 29 29 29 29 29 29 62 62 62 62 62 62 62 62,2 29 29 29 29 29 29 62 62 62 62 62 62 62 62
163,Other,Other,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,sqrt(30),,,Max(2*x_ + 3*y_),x_: Number;y_: Number;2*x_^2 + 3*y_^2 = 6,,
