sample_id,after_curve_type,after_query_type,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
2252,Parabola,Value,none,max_steps,none,max_steps,15,15,2,2,Slope not found,"Slope(OverlappingLine(LineSegmentOf(A, B)))","G: Parabola;Expression(G) = (y^2 = 4*x);A: Point;B: Point;IsChordOf(LineSegmentOf(A, B), G) = True;P: Point;Coordinate(P) = (1, 1);MidPoint(LineSegmentOf(A, B)) = P",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
360,Parabola,Value,none,max_steps,none,max_steps,15,15,2,2,LineSegmentOf not found,"LineSegmentOf(F, R)","C: Parabola;P: Point;Q: Point;F: Point;M: Point;N: Point;R: Point;l: Line;Expression(C) = (y^2 = 4*x);Focus(C) = F;Directrix(C) = l;PointOnCurve(P, C);IsPerpendicular(LineSegmentOf(P,Q),l);FootPoint(LineSegmentOf(P,Q),l)=Q;MidPoint(LineSegmentOf(P,Q))=M;MidPoint(LineSegmentOf(P,F))=N;Intersection(LineSegmentOf(M,N),xAxis)=R;AngleOf(N, R, F) = ApplyUnit(60, degree)",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
7714,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,8,2,"Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B))","l: Line;C: Parabola;A: Point;B: Point;F: Point;Expression(C) = (y^2 = 4*x);Focus(C) = F;Expression(l) = (y = x - 1);Intersection(l, C) = {A, B}",29 29 29 29 29 29 29 29 29 62 62 62 62 62 62,29 29 29 29 29 29 29 29 29 62 62 62 62 62 62
7184,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,6,4,Min not found,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;Expression(G) = (x^2 = 8*y);P: Point;PointOnCurve(P, G);A: Point;Coordinate(A) = (-2, 4);F: Point;Focus(G) = F",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
6407,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,8,2,"Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B))","E: Parabola;P: Point;A: Point;B: Point;l1: Line;l2: Line;Expression(E) = (x^2 = 4*y);Coordinate(P) = (2, -1);TangentOfPoint(P, E) = {l1, l2};TangentPoint(l1, E) = A;TangentPoint(l2, E) = B",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
6177,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,6,4,"Abs(LineSegmentOf(P, F)) not found","Abs(LineSegmentOf(P, F))","G: Parabola;P: Point;F: Point;Expression(G) = (y^2 = 8*x);Focus(G) = F;PointOnCurve(P, G);XCoordinate(P)=4",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
5824,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,8,2,"Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B))","l: Line;G: Parabola;M: Point;O: Origin;A: Point;B: Point;F: Point;t:Number;Expression(G) = (y^2 = 4*x);Coordinate(M) = (t, 2);Quadrant(M) = 1;Focus(G) = F;PointOnCurve(F, l);Intersection(l, G) = {A, B};VectorOf(O, M) = (VectorOf(O, A) + VectorOf(O, B))/2",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
5711,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,7,2,Min not found,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;P: Point;A: Point;F: Point;Expression(G) = (y^2 = 4*x);Coordinate(A) = (6, 3);Focus(G) = F;PointOnCurve(P, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
5515,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,8/3,4,"Abs(LineSegmentOf(Q, F)) not found","Abs(LineSegmentOf(Q, F))","C: Parabola;Expression(C) = (y^2 = 8*x);F: Point;Focus(C) = F;l: Line;Directrix(C) = l;P: Point;PointOnCurve(P, l);Q: Point;OneOf(Intersection(LineOf(P, F), C)) = Q;VectorOf(P, F) = 3*VectorOf(Q, F)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
5080,Ellipse,Value,answer_mismatch,max_steps,none,max_steps,15,15,16,sqrt(4^2 - sqrt(7)^2)/4,Perimeter not found,"Perimeter(TriangleOf(A, B, F2))","G: Ellipse;Expression(G) = (x^2/16 + y^2/7 = 1);F2: Point;F1: Point;LeftFocus(G) = F1;RightFocus(G) = F2;H: Line;A: Point;B: Point;PointOnCurve(F1, H);Intersection(H, G) = {A,B}",56 56 56 56 56 56 56 56 13 13 13 13 13 13 13,56 56 56 56 56 56 56 56 13 13 13 13 13 13 13
4868,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,2*sqrt(5)-1,2*(p/2,Min not found,"Min(Abs(LineSegmentOf(P, Q)))","C: Parabola;p: Number;G: Circle;H: Point;P: Point;Q: Point;p>0;Expression(C) = (y^2 = 2*(p*x));Expression(G) = (y^2 + (x - 6)^2 = 1);Coordinate(H) = (5, t);PointOnCurve(H, C);PointOnCurve(P,C);PointOnCurve(Q,G);Distance(H, Focus(C)) = 6;t:Number",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
4606,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,16/5,4,Min not found,Min(d1 + d2),"G: Parabola;Expression(G) = (y^2 = 8*x);P: Point;PointOnCurve(P, G);d1: Number;d2: Number;H: Line;Expression(H) = (4*x + 3*y + 8 = 0);Distance(P, Directrix(G)) = d1;Distance(P, H) = d2",29 29 29 29 29 29 29 29 62 62 62 62 62 62 62,29 29 29 29 29 29 29 29 62 62 62 62 62 62 62
4119,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,1/3,2*p/2,"Expression 'Abs(LineSegmentOf(A, F))/Abs(LineSegmentOf(B, F))' not found","Abs(LineSegmentOf(A, F))/Abs(LineSegmentOf(B, F))","l: Line;G: Parabola;p: Number;A: Point;F: Point;B: Point;p>0;Expression(G) = (y^2 = 2*p*x);Focus(G) = F;PointOnCurve(F, l);Inclination(l) = ApplyUnit(120, degree);Intersection(l, G) = {A, B};Quadrant(A)=1;Quadrant(B)=4",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
3858,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,6,2,Min not found,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;A: Point;P: Point;F: Point;Expression(G) = (x^2 = 4*y);Coordinate(A) = (-1, 5);Focus(G) = F;PointOnCurve(P, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
3783,Parabola,Value,answer_mismatch,max_steps,none,max_steps,15,15,4*sqrt(2),2,"Abs(LineSegmentOf(A, B)) not found","Abs(LineSegmentOf(A, B))","G: Parabola;B: Point;A: Point;M: Point;Expression(G) = (x^2 = 4*y);Coordinate(M) = (2, 2);PointOnCurve(A, G);PointOnCurve(B, G);MidPoint(LineSegmentOf(A,B)) = M",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
