sample_id,after_curve_type,after_query_type,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
5645,Hyperbola,Value,answer_mismatch,none,none,none,1,1,pm*2,sqrt(2),pm*2,a,G: Hyperbola;a: Real;Expression(G) = (x^2/2 - y^2/a^2 = 1);Expression(OneOf(Asymptote(G))) = (y = sqrt(2)*x),21,21
2811,Hyperbola,Value,answer_mismatch,none,none,none,15,15,-9,m: Number,-9,m,G: Hyperbola;m: Number;Expression(G) = (x^2/16 + y^2/m = 1);Eccentricity(G) = 5/4,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
221,Hyperbola,Value,answer_mismatch,none,none,none,15,15,-8,m: Number,-8,m,G: Hyperbola;m: Number;Expression(G) = (m*y^2 + x^2 = 1);Length(ImageinaryAxis(G))*3 = FocalLength(G),65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
2841,Hyperbola,Range,answer_mismatch,none,none,none,15,15,"(-oo, -4)+(1, +oo)",b^2 - 4*a*c,"(-oo, -4)+(1, +oo)",Range(k),G: Hyperbola;H: Curve;k: Number;Expression(H) = (x^2/(k + 4) + y^2/(1 - k) = 1);H = G,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
926,Ellipse,Range,answer_mismatch,none,none,none,15,15,"(1, 3/2)+(3/2, 2)",sqrt(sqrt(2-a)^2 - sqrt(a-1)^2)/sqrt(2-a),"(1, 3/2)+(3/2, 2)",Range(a),G: Ellipse;Expression(G) = (x^2/(2 - a) + y^2/(a - 1) = 1);a: Number,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
6851,Ellipse,Equation,answer_mismatch,none,none,none,1,1,x^2/16+y^2/7=1,4,x^2/16+y^2/7=1,Expression(C),"G: Ellipse;C:Ellipse;H: Point;Expression(G) = (x^2/25 + y^2/16 = 1);Coordinate(H) = (-3, 7/4);Focus(G)=Focus(C);PointOnCurve(H,C)",63,63
6365,Ellipse,Equation,answer_mismatch,none,none,none,1,1,y^2/4+x^2=1,a,x^2+y^2/4=1,Expression(G),"G: Ellipse;b: Number;a: Number;A: Point;H:LineSegment;a > b;b > 0;Expression(G) = (x^2/b^2 + y^2/a^2 = 1);Coordinate(A) = (1, 0);RightVertex(G)=A;PointOnCurve(Focus(G),H);IsPerpendicular(H,MajorAxis(G));Length(H)=1;IsChordOf(l,G)",62,62
5332,Hyperbola,Equation,answer_mismatch,none,none,none,1,1,y^2=-36*(x-4),3,y^2=-36*(x-4),Expression(H),G: Hyperbola;H: Parabola;Expression(G) = (x^2/16 - y^2/9 = 1);LeftVertex(G) = Vertex(H);Focus(H) = RightFocus(G),21,21
3501,Ellipse,Equation,answer_mismatch,none,none,none,1,1,x^2/15+y^2/10=1,2,x^2/15+y^2/10=1,Expression(G1),"G: Ellipse;Expression(G) = (4*x^2 + 9*y^2 = 36);G1: Ellipse;Focus(G) = Focus(G1);H: Point;Coordinate(H) = (-3, 2);PointOnCurve(H, G1) = True",63,63
1651,Hyperbola,Equation,answer_mismatch,none,none,none,1,1,x^2/4-y^2=1,b,x^2/4-y^2=1,Expression(G),G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;FocalLength(G) = 2*sqrt(5);2*Length(ImageinaryAxis(G)) = Length(RealAxis(G)),21,21
1324,Ellipse,Equation,answer_mismatch,none,none,none,1,1,x^2/9+y^2/7=1,b,x^2/9+y^2/7=1,Expression(C),"C: Ellipse;Expression(C) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a > b;b > 0;F1: Point;F2: Point;Focus(C) = {F1, F2};H: Line;PointOnCurve(F1, H);A: Point;B: Point;Intersection(H, C) = {A, B};Perimeter(TriangleOf(A, B, F2)) = 12;Eccentricity(C) = sqrt(2)/3",63,63
6302,Hyperbola,Eccentricity,answer_mismatch,none,none,none,1,1,2,Eccentricity not found,2,Eccentricity(G),H: Parabola;Expression(H) = (y^2 = 4*x);G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;Focus(H) = RightVertex(G);Expression(OneOf(Asymptote(G))) = (y = sqrt(3)*x),21,21
2710,Hyperbola,Eccentricity,answer_mismatch,none,none,none,1,1,sqrt(10),Eccentricity not found,sqrt(10),Eccentricity(G),G: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);Expression(OneOf(Asymptote(G))) = (3*x + y = 0),21,21
1830,Hyperbola,Equation,max_steps,none,max_steps,none,15,15,x^2/6-y^2/6=1,,x^2/6-y^2/6=1,Expression(G),"G: Hyperbola;O: Origin;Center(G) = O;PointOnCurve(Focus(G),axis) = True;Eccentricity(G) = sqrt(2);H: Point;Coordinate(H) = (4, -sqrt(10));PointOnCurve(H,G) = True",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7246,Ellipse,Eccentricity,max_steps,none,max_steps,none,15,15,"sqrt(3)/2
x^2/9-y^2/3=1",,"sqrt(3)/2
x^2/9-y^2/3=1",Eccentricity(H);Expression(G),H: Ellipse;Expression(H) = (x^2 + 4*y^2 = 16);G: Hyperbola;Focus(G) = Focus(H);Expression(OneOf(Asymptote(G))) = (x + sqrt(3)*y = 0),0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1269,Ellipse,Eccentricity,max_steps,none,max_steps,none,15,15,sqrt(2)/2,Eccentricity not found,sqrt(2)/2,Eccentricity(G),G: Ellipse;Expression(G) = (2*x^2 + y^2 = 4),0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4551,Parabola,Coordinate,max_steps,none,max_steps,none,15,15,"(7/4, pm*sqrt(7)/2)",Coordinate(P) not found,"(7/4, pm*sqrt(7)/2)",Coordinate(P),"G: Parabola;P: Point;Expression(G) = (y^2 = x);PointOnCurve(P, G);Distance(P, Focus(G)) = 2",53 53 53 53 53 53 53 53 53 53 53 53 53 53 53,53 53 53 53 53 53 53 53 53 53 53 53 53 53 53
2840,Hyperbola,Coordinate,max_steps,none,max_steps,none,15,15,"(pm*5,0)",Coordinate(G) not found,"(pm*5, 0)",Coordinate(Focus(G)),G: Hyperbola;Expression(G) = (x^2/9 - y^2/16 = 1),21 21 21 21 21 21 21 21 21 13 13 13 13 13 13,21 21 21 21 21 21 21 21 21 13 13 13 13 13 13
